temp_amb;cara_1;cara_2;corriente;tiempo;diferencia
26,57;28,68;28,34;0;350028;0,34
26,58;28,71;28,36;0;349932;0,35
26,58;28,69;28,35;0;350008;0,34
26,58;28,68;28,36;0;349992;0,32
26,59;28,67;28,32;0;350004;0,35
26,59;28,64;28,35;0;349952;0,29
26,6;28,69;28,33;0;349984;0,36
26,62;28,68;28,28;0;350000;0,4
26,62;28,69;28,33;0;349968;0,36
26,63;28,7;28,35;2,153118134;350488;0,35
26,63;28,67;28,3;2,181505442;350516;0,37
26,63;28,74;28,17;2,266666651;350468;0,57
26,63;29;28,04;2,22494626;350456;0,96
26,64;29,48;27,73;2,193978548;350584;1,75
26,65;29,88;27,49;2,162580729;350480;2,39
26,64;30,54;27,07;2,127311707;350372;3,47
26,65;31,08;26,6;2,100214958;350528;4,48
26,66;31,64;26,2;2,070967674;350500;5,44
26,66;32,5;25,78;2,042150497;348636;6,72
26,66;33,09;25,3;2,018494606;349392;7,79
26,66;33,64;24,96;1,9939785;350624;8,68
26,66;34,4;24,5;1,972903252;350560;9,9
26,66;35,05;24,08;1,952688217;350472;10,97
26,67;35,73;23,67;1,929462433;350372;12,06
26,67;36,46;23,24;1,914408684;350392;13,22
26,66;37,2;22,96;1,893763542;349712;14,24
26,66;37,91;22,65;1,861935616;349220;15,26
26,67;38,68;22,53;1,857634544;347948;16,15
26,67;39,29;22,23;1,848602104;347660;17,06
26,67;39,85;22,04;1,812042999;349104;17,81
26,68;40,77;21,87;1,815053749;348216;18,9
26,68;41,48;21,73;1,799139738;348360;19,75
26,67;42,27;21,69;1,78838706;348476;20,58
26,69;43;21,62;1,784085989;348152;21,38
26,67;43,6;21,55;1,767741919;347944;22,05
26,67;44,37;21,5;1,753978491;347644;22,87
26,68;45;21,42;1,741935492;347768;23,58
26,69;45,59;21,39;1,730322599;347680;24,2
26,69;46,24;21,37;1,72129035;348032;24,87
26,69;46,88;21,32;1,712688208;347048;25,56
26,68;47,47;21,31;1,702365637;347048;26,16
26,69;48,01;21,3;1,692043066;347332;26,71
26,7;48,58;21,3;1,688602209;346948;27,28
26,69;49,2;21,28;1,67655921;346660;27,92
26,69;49,68;21,27;1,669247389;346372;28,41
26,69;50,25;21,28;1,660215139;346732;28,97
26,69;50,82;21,29;1,652473211;346864;29,53
26,68;51,33;21,29;1,645591497;346792;30,04
26,69;51,75;21,29;1,636129141;346820;30,46
26,69;52,3;21,3;1,636559248;346760;31
26,69;52,72;21,32;1,626666784;347268;31,4
26,68;53,14;21,37;1,621075392;348180;31,77
26,69;53,65;21,4;1,612903357;346988;32,25
26,69;54,16;21,43;1,615914106;346708;32,73
26,69;54,58;21,48;1,608172178;346816;33,1
26,7;55,06;21,56;1,601290464;347024;33,5
26,7;55,42;21,62;1,591828108;347232;33,8
26,7;55,86;21,73;1,593118429;347604;34,13
26,71;56,37;21,82;1,585376501;347648;34,55
26,71;56,73;21,91;1,579355001;347676;34,82
26,71;57,12;22,01;1,573763466;347696;35,11
26,71;57,44;22,11;1,56860218;347820;35,33
26,71;57,84;22,24;1,567311859;347788;35,6
26,71;58,23;22,37;1,564731216;347232;35,86
26,71;58,64;22,5;1,558709717;347028;36,14
26,72;58,96;22,57;1,553548431;346740;36,39
26,71;59,31;22,62;1,553548431;347080;36,69
26,72;59,66;22,7;1,550107574;346960;36,96
26,73;60,09;22,79;1,545806503;347228;37,3
26,73;60,38;22,97;1,539785004;347508;37,41
26,74;60,73;23,09;1,537204361;348204;37,64
26,73;61,06;23,2;1,534193611;348380;37,86
26,74;61,39;23,35;1,534623718;348472;38,04
26,74;61,76;23,5;1,52989254;348292;38,26
26,75;62,09;23,63;1,52688179;348232;38,46
26,74;62,39;23,77;1,523440933;348176;38,62
26,76;62,72;23,96;1,516559219;348200;38,76
26,76;63,09;24,05;1,514838791;348024;39,04
26,74;63,32;24,15;1,514408684;348236;39,17
26,73;63,63;24,35;1,513978577;348140;39,28
26,72;63,99;24,53;1,510967827;348124;39,46
26,73;64,26;24,68;1,505376434;347856;39,58
26,73;64,6;24,85;1,502365685;348020;39,75
26,73;64,83;24,97;1,498064613;348080;39,86
26,73;65,14;25,07;1,497634506;347948;40,07
26,73;65,43;25,18;1,496774292;347820;40,25
26,73;65,71;25,37;1,494193649;347928;40,34
26,73;66,04;25,52;1,490752792;347836;40,52
26,75;66,23;25,71;1,488602257;348028;40,52
26,75;66,55;25,91;1,483871078;347728;40,64
26,75;66,78;26,05;1,48215065;347640;40,73
26,75;67,08;26,18;1,484731293;347804;40,9
26,75;67,25;26,31;1,480860329;348036;40,94
26,75;67,55;26,52;1,477419472;348108;41,03
26,76;67,85;26,64;1,472258186;348200;41,21
26,77;68,08;26,88;1,468817329;348024;41,2
26,76;68,37;27,04;1,471397972;348024;41,33
26,76;68,61;27,16;1,469247437;347976;41,45
26,76;68,84;27,39;1,465376472;347912;41,45
26,75;69,1;27,54;1,464086151;347880;41,56
26,74;69,35;27,75;1,459354973;347880;41,6
26,75;69,62;27,96;1,458924866;347864;41,66
26,76;69,83;28,06;1,461505508;347848;41,77
26,75;70,05;28,23;1,45677433;347888;41,82
26,75;70,32;28,46;1,45376358;347916;41,86
26,74;70,53;28,61;1,450322723;347640;41,92
26,74;70,8;28,82;1,448172188;347644;41,98
26,73;71,05;28,94;1,448172188;347504;42,11
26,75;71,19;29,05;1,448602295;347280;42,14
26,75;71,41;29,22;1,445161247;347560;42,19
26,74;71,65;29,44;1,44172039;347620;42,21
26,74;71,96;29,63;1,440860033;347524;42,33
26,74;72,17;29,81;1,440860033;347496;42,36
26,74;72,44;29,97;1,439569712;347396;42,47
26,74;72,62;30,09;1,436989069;347512;42,53
26,74;72,85;30,26;1,432257891;347780;42,59
26,74;73,03;30,43;1,434838533;347788;42,6
26,74;73,35;30,67;1,431827784;347096;42,68
26,74;73,56;30,91;1,428386927;346476;42,65
26,75;73,81;31,08;1,428386927;346252;42,73
26,76;74,03;31,25;1,428386927;346216;42,78
26,75;74,23;31,41;1,424515963;346192;42,82
26,76;74,46;31,58;1,422795534;346684;42,88
26,76;74,66;31,7;1,42494607;346908;42,96
26,77;74,87;31,89;1,420644999;346932;42,98
26,76;75,05;32,13;1,41892457;345984;42,92
26,76;75,26;32,32;1,418494463;345648;42,94
26,77;75,5;32,47;1,415483713;345660;43,03
26,78;75,76;32,61;1,413763285;346228;43,15
26,78;75,96;32,73;1,414623499;346676;43,23
26,77;76,18;32,85;1,413333178;347148;43,33
26,78;76,39;32,93;1,409032106;347396;43,46
26,78;76,55;33,04;1,406021357;347572;43,51
26,79;76,77;33,29;1,408171892;347656;43,48
26,78;76,95;33,42;1,406451464;347692;43,53
26,79;77,18;33,61;1,405161142;347920;43,57
26,79;77,4;33,77;1,4025805;347912;43,63
26,78;77,59;33,87;1,399999857;347884;43,72
26,77;77,8;34,01;1,399999857;347912;43,79
26,74;77,96;34,18;1,4025805;347968;43,78
26,73;78,16;34,37;1,401720285;348080;43,79
26,72;78,31;34,57;1,395698786;348224;43,74
26,71;78,48;34,81;1,396128893;348248;43,67
26,68;78,71;35,04;1,393978357;347104;43,67
26,68;78,89;35,22;1,396128893;346624;43,67
26,67;79,08;35,43;1,393118143;346288;43,65
26,66;79,37;35,54;1,3905375;346544;43,83
26,65;79,56;35,7;1,391827822;346632;43,86
26,65;79,79;35,79;1,388817072;346688;44
26,65;79,96;35,95;1,386666536;346436;44,01
26,65;80,15;36,1;1,388386965;346188;44,05
26,65;80,3;36,25;1,384946108;346312;44,05
26,64;80,48;36,37;1,383655787;346568;44,11
26,65;80,71;36,49;1,384946108;346512;44,22
26,65;80,89;36,59;1,382795572;346732;44,3
26,64;81,15;36,7;1,381505251;346800;44,45
26,65;81,3;36,84;1,379784822;346732;44,46
26,65;81,5;36,96;1,381075144;346608;44,54
26,65;81,71;37,09;1,377634287;346416;44,62
26,65;81,86;37,24;1,377634287;346476;44,62
26,64;82,05;37,37;1,378494501;346748;44,68
26,64;82,26;37,49;1,376774073;347032;44,77
26,64;82,41;37,66;1,37118268;347056;44,75
26,64;82,61;37,78;1,374623537;347144;44,83
26,63;82,76;37,92;1,374623537;346796;44,84
26,63;82,91;38,11;1,370752573;346132;44,8
26,63;83,13;38,22;1,375913858;345992;44,91
26,62;83,32;38,3;1,370322466;345888;45,02
26,62;83,47;38,41;1,366451502;346128;45,06
26,61;83,64;38,62;1,37118268;346048;45,02
26,62;83,82;38,8;1,369032145;346244;45,02
26,62;83,98;38,97;1,364731073;346212;45,01
26,61;84,2;39,17;1,366451502;346176;45,03
26,61;84,35;39,36;1,364731073;345660;44,99
26,6;84,49;39,51;1,36516118;345312;44,98
26,61;84,68;39,68;1,360430002;344704;45
26,61;84,84;39,89;1,364731073;344436;44,95
26,61;85;40,04;1,359999895;344424;44,96
26,61;85,18;40,15;1,359139681;344448;45,03
26,59;85,31;40,36;1,358279467;344424;44,95
26,61;85,47;40,52;1,359569788;344504;44,95
26,59;85,66;40,66;1,356559038;344512;45
26,61;85,8;40,78;1,358709574;344712;45,02
26,61;85,97;40,95;1,35182786;344664;45,02
26,6;86,15;41,05;1,356128931;344628;45,1
26,61;86,27;41,16;1,351397753;344696;45,11
26,6;86,42;41,34;1,352257967;344912;45,08
26,61;86,61;41,51;1,349247217;344912;45,1
