temp_ambiente,cara_1,cara_2
27.2,26.43,26.19
27.2,26.42,26.18
27.2,26.44,26.19
27.2,26.43,26.17
27.19,26.42,26.18
27.19,26.47,26.19
27.2,26.43,26.18
27.2,26.44,26.2
27.19,26.44,26.21
27.2,26.45,26.2
27.19,26.45,26.19
27.2,26.45,26.22
27.19,26.47,26.24
27.19,26.47,26.23
27.19,26.4,26.24
27.2,26.29,26.55
27.21,26,27.07
27.2,25.71,27.89
27.21,25.19,28.71
27.2,24.74,29.62
27.2,24.3,30.65
27.2,23.87,31.69
27.2,23.47,32.75
27.21,22.95,34.03
27.21,22.62,35.14
27.2,22.27,36.15
27.2,21.84,37.12
27.2,21.42,38.21
27.2,21.23,39.24
27.21,20.99,40.33
27.21,20.82,41.23
27.21,20.61,42.2
27.21,20.36,43.13
27.21,20.17,44.05
27.21,20.07,44.95
27.21,19.91,45.77
27.21,19.78,46.61
27.21,19.67,47.45
27.21,19.6,48.14
27.21,19.52,48.98
27.21,19.5,49.65
27.2,19.46,50.57
27.21,19.5,51.22
27.2,19.54,51.81
27.2,19.61,52.68
27.21,19.65,53.26
27.21,19.75,53.92
27.21,19.83,54.63
27.22,19.91,55.25
27.21,20.06,55.87
27.21,20.14,56.51
27.22,20.24,57.02
27.23,20.4,57.63
27.23,20.52,58.25
27.24,20.68,58.76
27.24,20.83,59.28
27.24,20.94,59.8
27.24,21.07,60.37
27.26,21.23,60.84
27.26,21.34,61.4
27.26,21.53,61.88
27.26,21.78,62.43
27.27,21.98,62.93
27.28,22.22,63.37
27.27,22.43,63.82
27.27,22.66,64.25
27.27,22.83,64.74
27.27,23.06,65.24
27.27,23.35,65.7
27.27,23.66,66.16
27.28,23.81,66.58
27.27,24.06,67.07
27.28,24.29,67.47
27.28,24.58,67.92
27.27,24.77,68.36
27.28,25.04,68.67
27.27,25.37,69.2
27.28,25.68,69.58
27.28,25.87,69.99
27.28,26.16,70.39
27.28,26.45,70.86
27.29,26.7,71.23
27.3,26.94,71.64
27.29,27.24,72.03
27.3,27.57,72.39
27.31,27.76,72.81
27.3,28.05,73.24
27.31,28.3,73.58
27.31,28.62,73.93
27.32,28.93,74.32
27.31,29.22,74.71
27.31,29.53,75.06
27.32,29.73,75.41
27.33,30.03,75.78
27.33,30.3,76.13
27.33,30.57,76.41
27.32,30.79,76.81
27.32,31.09,77.21
27.33,31.43,77.5
27.32,31.66,77.81
27.32,31.94,78.19
27.31,32.21,78.56
27.32,32.53,78.85
27.32,32.9,79.17
27.32,33.18,79.5
27.32,33.43,79.8
27.32,33.71,80.15
27.32,34.02,80.38
27.32,34.3,80.68
27.31,34.53,80.97
27.32,34.84,81.4
27.31,35.17,81.7
27.3,35.4,82.04
27.31,35.6,82.33
27.3,35.79,82.66
27.3,36.01,82.96
27.3,36.27,83.25
27.29,36.54,83.55
27.3,36.81,83.82
27.3,37.03,84.1
27.3,37.28,84.32
27.3,37.74,84.69
27.3,38.09,85.03
27.3,38.3,85.29
27.3,38.54,85.56
27.29,38.73,85.84
27.29,39.11,86.11
27.29,39.41,86.41
27.3,39.74,86.68
27.3,39.98,86.99
27.3,40.28,87.26
27.3,40.51,87.53
27.3,40.77,87.79
27.31,40.99,88.03
27.31,41.28,88.24
27.31,41.54,88.46
27.31,41.8,88.71
27.31,42.16,88.98
27.31,42.45,89.2
27.32,42.72,89.46
27.32,43.01,89.68
27.33,43.28,89.93
27.33,43.53,90.14
27.34,43.8,90.48
27.34,44.1,90.73
27.36,44.33,90.99
27.35,44.61,91.21
27.36,44.77,91.45
27.35,45.02,91.69
27.36,45.31,91.91
27.36,45.61,92.11
27.36,45.83,92.42
27.36,46.11,92.66
27.37,46.27,92.88
27.37,46.45,93.06
27.37,46.61,93.34
27.39,46.88,93.54
27.4,47.17,93.81
27.4,47.39,94.01
27.41,47.56,94.33
27.41,47.84,94.52
27.42,48.13,94.75
27.43,48.32,94.94
27.43,48.52,95.18
27.44,48.78,95.41
27.49,49.01,95.55
27.44,49.38,95.61
27.44,49.89,95.41
27.44,50.55,95.08
27.44,51.14,94.67
27.43,51.61,94.13
27.43,52.19,93.54
27.43,52.89,92.96
27.42,53.71,92.37
27.41,54.39,91.72
27.42,54.99,91.1
27.42,55.52,90.48
27.41,56.16,89.81
27.4,56.68,89.15
27.4,57.21,88.49
27.41,57.74,87.87
27.39,58.26,87.22
27.39,58.76,86.62
27.39,59.2,86
27.39,59.63,85.44
27.39,60.03,84.87
27.38,60.4,84.24
27.38,60.75,83.76
27.38,61.15,83.25
27.38,61.48,82.74
27.37,61.81,82.24
27.38,62.08,81.74
27.38,62.35,81.19
27.38,62.62,80.7
27.38,62.87,80.32
27.38,63.08,79.92
27.37,63.26,79.49
27.37,63.45,79.08
27.37,63.64,78.71
27.37,63.78,78.32
27.37,63.94,77.9
27.37,64.05,77.58
27.37,64.16,77.27
27.37,64.26,76.91
27.36,64.35,76.51
27.36,64.46,76.22
27.37,64.58,75.95
27.36,64.7,75.67
27.36,64.8,75.35
27.37,64.87,75.08
27.37,64.94,74.79
27.36,64.97,74.5
27.37,65.05,74.23
27.36,65.07,73.96
27.36,65.11,73.73
27.36,65.14,73.45
27.36,65.15,73.24
27.37,65.15,72.98
27.38,65.17,72.72
27.39,65.17,72.46
27.38,65.18,72.29
27.38,65.18,72.09
27.38,65.16,71.9
27.38,65.15,71.68
27.37,65.14,71.45
27.38,65.11,71.26
27.38,65.12,71.07
27.38,65.08,70.91
27.38,65.06,70.72
27.38,65.01,70.52
27.39,64.98,70.32
27.38,64.95,70.11
27.38,64.89,69.95
27.38,64.86,69.79
27.38,64.8,69.61
27.39,64.73,69.42
27.38,64.7,69.29
27.39,64.63,69.12
27.39,64.6,68.93
27.39,64.5,68.66
27.4,64.41,68.51
27.4,64.35,68.45
27.39,64.35,68.37
27.39,64.29,68.22
27.39,64.25,68.08
27.39,64.21,67.94
27.39,64.17,67.78
