temp_amb;cara_1;cara_2;Corriente A
25,47;35,43;33,91;0
25,48;35,43;33,92;0
25,48;35,41;33,92;0
25,49;35,38;33,93;0
25,48;35,36;33,95;0
25,46;35,13;33,97;0
25,45;34,7;34,26;0
25,43;34,53;34,45;0
25,41;34,45;34,71;0
25,39;34,37;34,82;0
25,37;34,29;34,88;0
25,35;34,26;34,95;0
25,33;34,26;35,03;0
25,33;34,26;35,06;0
25,31;34,24;35,07;0
25,3;34,23;35,07;0
25,29;34,25;35,1;0
25,28;34,24;35,08;0
25,27;34,24;35,08;0
25,27;34,24;35;0
25,27;34,22;35,04;0
25,28;34,2;35,06;0
25,29;34,17;34,99;0
25,3;34,13;34,99;0
25,3;34,1;34,95;0
25,3;34,08;34,98;0
25,29;34,06;34,92;0
25,28;34,05;34,9;0
25,27;34,05;34,89;0
25,26;34,04;34,87;0
25,25;34,03;34,85;0
25,23;34,01;34,83;0
25,24;34;34,83;0
25,22;34;34,79;0
25,24;34,13;34,85;0
25,24;34,07;34,78;0
25,25;34,02;34,76;0
25,25;34,04;34,74;0
25,26;34,01;34,7;0
25,27;33,98;34,66;0
25,28;33,99;34,69;0
25,28;33,99;34,64;0
25,3;33,96;34,61;0
25,31;33,96;34,59;0
25,33;33,94;34,52;0
25,34;33,91;34,45;2,25
25,34;34,06;34,19;2,18
25,36;34,55;33,78;2,12
25,38;35,3;33,17;2,07
25,38;36,18;32,59;2,03
25,4;37,09;31,89;1,99
25,42;38,09;31,26;1,96
25,43;39,19;30,54;1,93
25,43;39,89;29,9;1,89
25,44;41,04;29,25;1,87
25,45;41,8;28,74;1,85
25,45;42,66;28,15;1,82
25,46;43,48;27,72;1,8
25,46;44,28;27,28;1,79
25,48;45,05;26,99;1,77
25,48;45,94;26,59;1,75
25,49;46,81;26,32;1,74
25,51;47,54;26,09;1,72
25,52;48,2;25,98;1,7
25,51;49,02;25,79;1,69
25,53;49,62;25,62;1,68
25,54;50,28;25,54;1,67
25,55;50,94;25,5;1,66
25,55;51,47;25,47;1,64
25,56;52,05;25,46;1,63
25,57;52,63;25,48;1,63
25,58;53,17;25,52;1,62
25,6;53,96;25,57;1,61
25,6;54,5;25,67;1,6
25,6;55,03;25,86;1,59
25,62;55,46;25,98;1,59
25,62;55,95;26,05;1,58
25,63;56,56;26,16;1,58
25,64;57,13;26,36;1,57
25,65;57,6;26,51;1,56
25,65;58,11;26,72;1,55
25,65;58,61;26,97;1,56
25,66;59,05;27,08;1,55
25,68;59,44;27,27;1,54
25,69;59,96;27,51;1,54
25,7;60,37;27,8;1,53
25,7;60,97;28;1,53
25,69;61,75;28,24;1,53
25,71;62,7;28,51;1,53
25,73;63,71;28,77;1,52
25,74;64,65;28,98;1,52
25,75;65,59;29,17;1,52
25,76;66,51;29,46;1,51
25,76;67,25;29,78;1,51
25,77;68,05;29,98;1,51
25,77;68,73;30,26;1,51
25,78;69,41;30,48;1,5
25,79;70;30,91;1,5
25,8;70,52;31,08;1,49
25,8;71,05;31,35;1,49
25,79;71,47;31,55;1,49
25,81;72,03;31,88;1,48
25,82;72,49;32,15;1,48
25,82;72,91;32,41;1,47
25,84;73,37;32,69;1,44
25,84;73,83;32,89;1,45
25,85;74,18;33,14;1,44
25,87;74,58;33,41;1,44
25,87;74,95;33,73;1,44
25,87;75,29;33,94;1,44
25,87;75,65;34,28;1,44
25,88;76,01;34,62;1,44
25,88;76,35;34,87;1,44
25,88;76,69;35,21;1,43
25,87;76,97;35,47;1,43
25,87;77,3;35,75;1,43
25,88;77,56;36,16;1,43
25,88;77,85;36,42;1,42
25,88;78,16;36,65;1,42
25,88;78,4;36,84;1,42
25,88;78,79;37,08;1,42
25,9;79,1;37,36;1,42
25,9;79,46;37,65;1,41
25,89;79,76;37,88;1,42
25,89;79,97;38,19;1,41
25,89;80,26;38,39;1,41
25,88;80,52;38,71;1,41
25,9;80,81;38,98;1,41
25,89;81,19;39,34;1,4
25,9;81,4;39,68;1,4
25,89;81,63;40,02;1,4
25,87;81,84;40,25;1,4
25,83;82,09;40,52;1,4
25,81;82,31;40,74;1,39
25,8;82,48;41;1,39
25,78;82,7;41,17;1,39
25,78;82,84;41,51;1,39
25,79;82,99;41,78;1,39
25,77;83,24;42,02;1,39
25,75;83,42;42,16;1,38
25,75;83,68;42,4;1,39
25,74;83,84;42,62;1,38
25,75;84,11;42,92;1,38
25,75;84,32;43,17;1,38
25,75;84,55;43,5;1,38
25,75;84,77;43,69;1,38
25,76;85,02;43,92;1,38
25,77;85,29;44,11;1,38
