Temp_ambiente;Temp_frio;Temp_caliente
24,54;24,26;24,15
24,53;24,28;24,15
24,5;24,24;24,09
24,49;24,21;24,08
24,48;24,24;24,1
24,48;24,25;24,1
24,48;24,27;24,11
24,49;24,28;24,11
24,48;24,31;24,14
24,49;24,34;24,14
24,49;24,33;24,14
24,5;24,33;24,18
24,51;24,37;24,2
24,52;24,38;24,21
24,53;24,42;24,25
24,53;24,42;24,28
24,54;24,45;24,3
24,55;24,49;24,33
24,56;24,51;24,36
24,56;24,54;24,39
24,57;24,56;24,4
24,58;24,57;24,44
24,58;24,59;24,44
24,59;24,58;24,44
24,58;24,6;24,47
24,58;24,6;24,48
24,58;24,6;24,47
24,59;24,6;24,46
24,59;24,61;24,47
24,6;24,62;24,47
24,6;24,62;24,48
24,61;24,62;24,5
24,61;24,61;24,48
24,61;24,62;24,48
24,6;24,6;24,48
24,59;24,6;24,47
24,59;24,6;24,46
24,59;24,58;24,45
24,59;24,57;24,47
24,58;24,6;24,44
24,59;24,57;24,42
24,6;24,55;24,39
24,61;24,57;24,4
24,61;24,46;24,43
24,61;24,24;24,41
24,63;23,83;24,4
24,63;23,47;24,44
24,64;22,89;24,43
24,64;22,44;24,42
24,65;21,89;24,41
24,66;21,31;24,41
24,67;20,89;24,42
24,67;20,34;24,43
24,68;19,74;24,42
24,69;19,09;24,42
24,7;18,47;24,39
24,7;17,88;24,36
24,71;17,35;24,35
24,71;16,97;24,28
24,71;16,57;24,2
24,72;16,14;24,13
24,71;15,85;24,14
24,71;15,55;24,13
24,7;15,31;24,1
24,7;15,95;24,09
24,71;16,28;24,09
24,72;15,97;24,11
24,71;15,66;24,1
24,72;15,32;24,14
24,72;14,9;24,19
24,73;14,86;24,23
24,75;14,85;24,25
24,76;14,09;24,3
24,76;13,4;24,35
24,77;12,94;24,38
24,78;12,45;24,45
24,78;12,02;24,47
24,79;11,57;24,48
24,8;11,01;24,46
24,81;10,69;24,47
24,79;10,46;24,37
24,77;10,31;24,25
24,74;10,13;24,17
24,72;9,97;24,1
24,71;9,74;24,08
24,7;9,58;24,03
24,68;9,52;23,91
24,66;9,4;23,83
24,65;9,29;23,72
24,66;9,19;23,68
24,66;9,08;23,56
24,66;9,01;23,52
24,65;8,86;23,49
24,64;8,74;23,43
24,64;8,64;23,41
24,62;8,56;23,35
24,61;8,41;23,26
24,59;8,2;23,35
24,58;8,03;23,44
24,58;7,73;23,45
24,56;7,57;23,47
24,55;7,44;23,43
24,55;7,38;23,43
24,54;7,27;23,49
24,54;7,11;23,46
24,54;7,04;23,39
24,53;7,11;23,34
24,52;7,17;23,34
24,52;7,13;23,4
24,53;7,07;23,46
24,52;6,98;23,53
24,51;6,89;23,52
24,51;6,89;23,48
24,5;6,84;23,5
24,5;6,78;23,56
24,51;6,66;23,56
24,5;6,58;23,66
24,5;6,51;23,71
24,49;6,44;23,8
24,49;6,42;23,9
24,49;6,37;24,01
24,49;6,38;24,06
24,49;6,49;24,09
24,5;6,54;24,1
