Temp_ambiente;Cara 1;Cara 2
25,47;27,77;27,68
25,47;27,77;27,68
25,46;27,75;27,66
25,47;27,74;27,63
25,47;27,75;27,63
25,47;27,75;27,63
25,47;27,74;27,61
25,47;27,74;27,64
25,46;27,72;27,64
25,46;27,73;27,59
25,47;27,72;27,58
25,46;27,71;27,59
25,46;27,7;27,56
25,46;27,69;27,55
25,45;27,69;27,56
25,45;27,7;27,52
25,44;27,68;27,5
25,41;27,67;27,49
25,39;27,67;27,48
25,36;27,64;27,37
25,35;27,64;27,46
25,32;27,66;27,44
25,31;27,64;27,41
25,31;27,62;27,4
25,32;27,62;27,41
25,34;27,6;27,46
25,35;27,5;27,9
25,37;27,27;28,37
25,39;27,03;28,98
25,41;26,78;29,69
25,43;26,64;30,23
25,44;26,49;30,81
25,43;26,24;31,44
25,45;26,08;31,91
25,45;25,95;32,33
25,44;25,82;32,61
25,45;25,76;32,82
25,45;25,78;32,92
25,44;25,82;32,94
25,43;25,88;32,94
25,42;25,87;32,9
25,41;25,91;33,01
25,39;25,88;33,54
25,39;25,75;34,14
25,4;25,62;34,76
25,4;25,43;35,42
25,4;25,26;36,23
25,4;25,01;37,05
25,41;24,78;37,84
25,43;24,64;38,77
25,43;24,51;39,79
25,44;24,2;40,65
25,45;24,13;41,34
25,46;24,1;41,91
25,46;24,22;42,34
25,47;24,35;42,53
25,47;24,64;42,54
25,49;24,92;42,55
25,49;25,33;42,53
25,49;25,76;42,45
25,51;26,16;42,3
25,51;26,53;42,1
25,52;26,8;41,88
25,53;27,17;41,61
25,52;27,52;41,28
25,54;27,69;41,05
25,54;27,88;40,79
25,53;28,08;40,55
25,55;28,23;40,23
25,54;28,35;39,92
25,54;28,54;39,69
25,55;28,61;39,37
25,55;28,77;39,12
25,55;28,96;38,88
25,56;29,14;38,61
25,57;29,29;38,42
25,57;29,44;37,8
25,58;29,64;37,15
25,58;29,75;36,84
25,57;29,99;36,52
25,57;30,16;36,01
25,58;29,95;35,75
25,58;30,45;35,52
25,59;30,54;35,3
25,58;30,61;35,13
25,59;30,69;35,07
25,59;30,74;34,93
25,6;30,87;34,89
25,6;30,97;34,79
25,6;31,06;34,73
25,6;31,1;34,58
25,59;31,2;34,43
25,59;31,23;34,29
25,59;31,32;34,18
25,59;31,39;34,08
25,6;31,44;34,01
25,6;31,51;33,96
25,6;31,56;33,84
25,6;31,59;33,8
25,59;31,62;33,65
25,59;31,67;33,64
25,58;31,67;33,56
25,57;31,69;33,5
25,56;31,74;33,43
25,55;31,74;33,35
25,54;31,74;33,24
25,53;31,79;33,27
25,53;31,79;33,21
25,53;31,7;33,6
25,54;31,52;34,14
25,54;31,15;34,75
25,55;30,75;35,41
25,56;30,44;36,11
25,56;30,1;36,97
25,57;29,69;37,57
25,58;29,3;38,6
25,59;28,93;39,53
25,59;28,57;40,45
25,6;28,2;41,16
25,61;27,85;41,99
25,61;27,64;42,81
25,62;27,31;43,56
25,63;27,02;44,33
25,64;26,79;44,99
25,64;26,64;45,69
25,66;26,45;46,33
25,67;26,28;46,96
25,68;26,13;47,65
25,69;25,98;48,3
25,7;25,85;48,97
25,71;25,79;49,54
25,72;25,75;50,02
25,72;25,75;50,64
25,73;25,73;51,11
25,73;25,71;51,66
25,75;25,7;52,37
25,76;25,7;52,86
25,78;25,7;53,53
25,79;25,72;54,19
25,8;25,75;54,72
25,81;25,8;55,19
25,83;25,87;55,6
25,83;25,96;55,99
25,86;26,02;56,43
25,86;26,23;56,88
25,85;26,61;57,55
25,87;26,92;58,04
25,87;27,41;58,37
25,87;27,82;58,32
25,87;28,37;57,96
25,88;28,94;57,45
25,89;29,51;56,95
25,91;30,04;56,52
25,99;30,49;55,81
25,97;31,21;55,07
25,99;32,2;54,2
26,01;33,37;53,14
26,04;34,53;52,46
26,06;35,48;51,58
26,09;36,07;50,92
26,1;36,66;50,16
26,12;37,12;49,61
26,14;37,79;49,45
26,14;38,3;49,32
26,15;38,52;49
26,16;38,58;48,45
26,16;39,16;47,88
26,15;39,86;47,4
26,16;40,68;46,61
26,17;41,45;45,88
26,18;42,4;45,16
26,18;43,31;44,5
26,18;44,33;43,84
26,17;45,23;43,14
26,17;46,19;42,49
26,19;46,99;42,03
26,18;47,78;41,85
26,19;48,44;41,79
26,19;48,99;41,8
26,19;49,38;41,89
26,28;49,46;41,9
26,21;50,04;41,91
26,21;50,78;41,65
26,2;51,56;41,28
26,21;52,48;41,04
26,21;53,72;40,7
26,21;54,77;40,44
26,21;55,68;40,15
26,21;56,59;39,95
26,23;57,52;39,7
26,23;58,61;39,58
26,24;59,56;39,37
26,24;60,53;39,16
26,24;61,74;38,98
26,24;62,85;38,79
26,24;63,81;38,64
