temp_ambiente,cara_1,cara_2
25.09,24.26,24.26
25.11,24.27,24.28
25.1,24.23,24.21
25.12,24.23,24.2
25.12,24.45,24.08
25.12,24.86,23.84
25.12,25.69,23.32
25.14,26.5,23.07
25.1,27.55,22.54
25.12,28.31,22.06
25.15,29.22,21.91
25.15,29.81,21.72
25.14,30.33,21.69
25.13,30.64,21.72
25.14,30.89,21.74
25.15,31.08,21.87
25.15,31.19,22.02
25.14,31.31,22.21
25.15,31.31,22.32
25.15,31.32,22.5
25.14,31.28,22.66
25.14,31.22,22.84
25.14,31.14,23
25.15,31.06,23.14
25.14,30.96,23.3
25.15,30.85,23.52
25.14,30.74,23.75
25.14,30.66,23.96
25.14,30.57,24.07
25.15,30.49,24.17
25.15,30.38,24.31
25.15,30.28,24.43
25.16,30.17,24.54
25.16,30.06,24.68
25.17,29.94,24.8
25.17,29.84,24.88
25.16,29.76,24.97
25.15,29.68,25.06
25.14,29.61,25.15
25.14,29.54,25.28
25.13,29.45,25.38
25.12,29.36,25.48
25.11,29.24,25.56
25.09,29.16,25.65
25.09,29.11,25.72
25.09,29.01,25.79
25.07,28.93,25.88
25.06,28.86,25.91
25.06,28.8,25.97
25.07,28.72,26
25.06,28.66,26.05
25.06,28.58,26.08
25.05,28.53,26.11
25.05,28.43,26.14
25.05,28.38,26.18
25.05,28.32,26.22
25.04,28.26,26.23
25.04,28.22,26.3
25.03,28.2,26.34
25.04,28.12,26.35
25.05,28.1,26.38
25.05,28.05,26.39
25.06,28.03,26.42
25.06,27.96,26.45
25.07,27.93,26.46
25.08,27.89,26.5
25.09,27.85,26.52
25.09,27.81,26.53
25.1,27.78,26.53
25.11,27.76,26.53
25.13,27.74,26.56
25.13,27.72,26.57
25.14,27.69,26.56
25.13,27.68,26.58
25.14,27.65,26.59
25.15,27.64,26.59
25.15,27.62,26.6
25.16,27.63,26.63
25.16,27.59,26.6
25.17,27.57,26.61
25.17,27.55,26.6
25.18,27.52,26.62
25.19,27.5,26.6
25.19,27.47,26.6
25.2,27.41,26.54
25.22,27.43,26.58
25.22,27.4,26.54
25.22,27.36,26.58
25.22,27.36,26.57
25.23,27.34,26.52
25.28,27.07,26.5
25.27,26.99,26.97
25.26,26.73,27.47
25.26,26.36,28.09
25.28,25.91,28.89
25.28,25.49,29.68
25.29,24.83,30.59
25.29,24.55,31.48
25.3,24.07,32.38
25.3,23.72,33.45
25.31,23.22,34.67
25.31,22.84,35.51
25.33,22.46,36.56
25.33,22.12,37.26
25.34,21.74,38.44
25.34,21.37,39.43
25.35,21.21,40.44
25.35,20.99,41.26
25.36,20.83,42.18
25.37,20.64,43.03
25.38,20.47,43.91
25.39,20.29,44.77
25.39,20.19,45.53
25.39,20.12,46.31
25.4,20,47.09
25.4,19.89,47.77
25.41,19.83,48.64
25.41,19.81,49.34
25.41,19.78,50.08
25.41,19.74,50.81
25.41,19.75,51.37
25.42,19.75,51.95
25.42,19.81,52.78
25.42,19.87,53.39
25.43,19.96,54.08
25.42,20.07,54.7
25.41,20.15,55.26
25.4,20.2,55.83
25.39,20.31,56.36
25.37,20.44,56.82
25.35,20.59,57.34
25.34,20.73,57.94
25.33,20.81,58.44
25.32,20.94,58.94
25.31,21.08,59.45
25.31,21.22,59.92
25.31,21.33,60.44
25.31,21.47,60.88
25.3,21.71,61.39
25.31,21.91,61.83
25.31,22.13,62.32
25.32,22.33,62.82
25.31,22.51,63.25
25.31,22.72,63.65
25.31,22.86,64.04
25.31,23.1,64.49
25.31,23.35,65
25.3,23.66,65.48
25.3,23.8,65.92
25.29,24.06,66.35
25.28,24.29,66.73
25.28,24.56,67.18
25.28,24.77,67.53
25.28,24.96,67.94
25.28,25.31,68.32
25.29,25.64,68.59
25.28,25.82,69.1
25.28,26.11,69.48
25.29,26.36,69.88
25.3,26.64,70.25
25.32,26.84,70.61
25.32,27.16,71
25.33,27.45,71.34
25.35,27.67,71.73
25.35,27.86,72.11
25.34,28.07,72.34
25.34,28.38,72.8
25.33,28.69,73.2
25.33,28.98,73.6
25.29,29.33,73.88
25.31,29.62,73.92
25.31,30.11,73.64
25.31,31.05,73.18
25.31,32.4,72.4
25.31,34.09,71.44
25.3,35.6,70.3
25.29,37.15,69.14
25.3,39.2,67.97
25.3,41.02,66.82
25.29,42.9,65.62
25.28,44.71,64.42
