temp_amb;cara_1;cara_2;Corriente;tiempo
26,04;28,39;28,61;0;350016
26,04;28,4;28,6;0;349956
26,05;28,3;28,57;0;349996
26,03;28,53;28,68;0;349988
26,04;28,45;28,65;0;350016
26,04;28,49;28,68;0;349960
26,06;28,43;28,6;0;350028
26,07;28,36;28,57;0;349952
26,08;28,28;28,5;0;350016
26,09;28,35;28,56;0;349976
26,1;28,29;28,53;0;350048
26,1;28,35;28,56;0;350000
26,1;28,33;28,55;0;350008
26,1;28,34;28,54;0;349956
26,11;28,32;28,57;0;350044
26,12;28,32;28,55;0;350008
26,13;28,28;28,59;2,339354753;350580
26,13;28,31;28,52;2,364300966;350516
26,14;28,43;28,45;2,328602076;350464
26,14;28,66;28,29;2,292042971;350436
26,13;29,03;28,09;2,252473116;350328
26,13;29,6;27,89;2,217204332;350352
26,13;30,07;27,51;2,18322587;350416
26,12;30,68;27,12;2,149677515;350332
26,1;31,32;26,75;2,125591278;350440
26,1;32,04;26,31;2,098924637;350172
26,08;32,84;26;2,07311821;348148
26,08;33,47;25,52;2,046881676;350236
26,07;34,16;25,14;2,024516106;350504
26,06;35;24,85;1,996129036;350516
26,06;35,69;24,48;1,972043037;350368
26,05;36,45;24,1;1,957849503;350372
26,06;37,14;23,76;1,939785004;350060
26,06;37,79;23,45;1,92387104;350132
26,06;38,54;23,14;1,907957077;349520
26,06;39,33;22,87;1,887311935;347392
26,06;39,85;22,64;1,8791399;347944
26,04;40,68;22,46;1,861935616;347128
26,02;41,41;22,22;1,850322723;347876
25,99;42,12;22,01;1,832688141;348360
25,98;42,72;21,79;1,815053749;348308
25,96;43,38;21,63;1,806451607;347964
25,95;43,99;21,5;1,800430107;347640
25,93;44,61;21,37;1,785806417;347188
25,92;45,16;21,29;1,77505374;347464
25,89;45,74;21,25;1,761720419;347044
25,87;46,31;21,21;1,754838705;347324
25,85;46,9;21,17;1,742795706;346612
25,85;47,34;21,14;1,74967742;346684
25,84;47,87;21,13;1,740215063;346824
25,82;48,48;21,1;1,734193563;346572
25,8;49,05;21,09;1,716129065;346268
25,79;49,51;21,1;1,706236601;345952
25,78;50,02;21,13;1,702795744;346168
25,75;50,47;21,16;1,697204351;346336
25,74;51,01;21,18;1,692043066;346492
25,72;51,98;21,22;1,691182852;346552
25,7;52,5;21,24;1,686451674;346676
25,68;52,73;21,27;1,664086103;347228
25,67;52,98;21,32;1,652473211;348012
25,66;53,4;21,38;1,657634497;347444
25,65;53,91;21,46;1,653333426;347076
25,66;54,35;21,56;1,652043104;347100
25,64;54,77;21,63;1,644301176;347176
25,64;55,11;21,74;1,636559248;347400
25,64;55,44;21,87;1,632688284;347656
25,64;55,79;22,01;1,629677534;347724
25,63;56,29;22,14;1,626236677;347512
25,63;56,68;22,3;1,618064642;346892
25,65;56,98;22,42;1,609032393;346720
25,64;57,35;22,54;1,614623785;346936
25,63;57,78;22,62;1,606881857;347276
25,62;58,28;22,74;1,616774321;347528
25,61;59,42;22,9;1,609032393;347660
25,6;59,79;23,04;1,602580786;347772
25,58;60,07;23,18;1,604301214;348144
25,58;60,25;23,32;1,599139929;348224
25,56;60,58;23,51;1,598709822;348264
25,55;60,79;23,63;1,589247465;348260
25,55;61,07;23,84;1,585806608;348360
